lobe,vinegar,yeast,2-heptanone,hexanol,octanol,mch,peppermint,ethanol,citronella,co2
alpha'1,42.20785164961609,41.41511215515244,37.34569768948443,21.356445264909667,23.697757527591392,17.463519115590977,23.121837020592572,21.848224512549066,6.67328078915132,6.61962458589849
alpha'2,67.89336919205219,65.9212048758466,56.75722405034996,60.25826418159397,44.8958438397871,40.96882520807251,55.030486023915536,25.9031303954676,16.20503469122032,12.677670179932852
alpha'3,19.89195264015914,17.17229990700767,16.527422451773297,12.791174912796528,11.418637827056374,14.518354768923526,15.33136494681732,11.196725862561676,6.235884705127822,6.132740631483218
alpha1,18.224721144445066,15.204186657373077,25.195774671227337,21.534141202502944,15.786559698098348,14.516086795460874,11.604647623123459,18.99527861399045,6.950629410669032,4.534904105629325
alpha2,22.061203644231796,20.095421336143104,26.507973926481593,22.699175972952453,16.139410534623494,11.50673117457344,8.603302943072437,13.796765615912978,5.89619295770355,9.346885470204487
alpha3,65.5331556633644,73.10428576291879,59.85325472564025,57.37169820325024,40.67684495791861,38.62766671548732,50.15444303918517,39.73707126503443,20.897463655625128,9.005112469097728
beta'1,54.3777044867389,53.16170871530862,9.596619207938407,4.755604561343697,8.427113534178863,6.039948510482057,19.877868129304115,19.24778300997612,6.953496395227171,9.320090651612713
beta'2,19.122447775611153,18.99827949150572,26.951264679674317,27.698608837390385,22.52874382275727,20.891893940128774,19.256622119934594,12.367632046321628,13.379730329517496,9.404557817182862
beta1,35.94932446462253,24.086182860421598,33.091998717981745,30.181439250061153,22.54659494550858,17.944531552721514,20.70969589209024,18.581403144746286,8.588296926889903,4.898470040328808
beta2,22.97944079779159,22.078778499167118,15.28422873969202,15.487117466932897,13.89908413758575,14.175397013511926,12.324738799530541,19.149789225221713,10.886406436275621,12.18786466456842
gamma1,51.97882892941489,40.541618458253836,36.41113195933711,42.177277240774785,17.331027355806906,27.298572653721997,22.01368885231556,21.128296167784036,4.7714815582210175,0.6360128293144411
gamma2,57.26409540696964,51.142221721758936,35.67024943191673,29.912452660239957,22.274916829047328,20.138734813810153,33.36613656263681,30.95289584517974,8.819632969792128,11.075804169000918
gamma3,49.17059975152389,44.21642821496512,47.3911945124388,42.392052553892924,43.2314652628687,33.70794994737927,33.72850898251757,25.48508851208002,19.66579376224356,16.120005943972853
gamma4,29.786553729218657,23.398782623977667,45.752188087965266,34.17118220402252,41.25544711613908,27.925873609770594,27.63355097967002,12.376639014991648,15.380894768327988,3.25039113183498
gamma5,9.060922484777453,7.768697951292654,3.114979015991392,0.009922005785488252,-0.6270630462883042,0.8672030825825875,3.140346034224362,3.787411352215053,-2.314360860511143,2.2636473890593733
